Srl_no.,State/UT,Number_of_Govt_Hospitals,Number_of_Local_Hospitals,Number_of_Other_Hospitals,Total_No_of_Hospitals,Number_of_Govt_HospitalBeds,Number_of_Local_HospitalBeds,Number_of_Other_HospitalBeds,Total_No_of_HospitalBeds
1,Andhra Pradesh,8.0,0.0,0.0,8.0,365.0,0.0,0.0,365.0
2,Arunachal Pradesh,11.0,0.0,1.0,12.0,100.0,0.0,25.0,125.0
3,Assam,4.0,0.0,0.0,4.0,205.0,0.0,0.0,205.0
4,Bihar,8.0,0.0,0.0,8.0,950.0,0.0,0.0,950.0
5,Chhattisgarh,7.0,0.0,8.0,15.0,370.0,0.0,470.0,840.0
6,Nct Of Delhi,4.0,0.0,1.0,5.0,390.0,0.0,210.0,600.0
7,Goa,0.0,2.0,0.0,2.0,0.0,150.0,0.0,150.0
8,Gujarat,35.0,29.0,0.0,64.0,1495.0,1763.0,0.0,3258.0
9,Haryana,4.0,0.0,7.0,11.0,145.0,0.0,600.0,745.0
10,Himachal Pradesh,34.0,0.0,0.0,34.0,710.0,0.0,0.0,710.0
11,Jammu and Kashmir,2.0,0.0,0.0,2.0,75.0,0.0,0.0,75.0
12,Jharkhand,1.0,4.0,0.0,5.0,50.0,300.0,0.0,350.0
13,Karnataka,156.0,0.0,57.0,213.0,2455.0,0.0,7740.0,10195.0
14,Kerala,162.0,0.0,0.0,162.0,4054.0,0.0,0.0,4054.0
15,Madhya Pradesh,23.0,0.0,0.0,23.0,690.0,0.0,0.0,690.0
16,Maharashtra,5.0,0.0,66.0,71.0,812.0,0.0,8024.0,8836.0
17,Manipur,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
18,Meghalaya,10.0,0.0,0.0,10.0,100.0,0.0,0.0,100.0
19,Mizoram,2.0,0.0,0.0,2.0,100.0,0.0,0.0,100.0
20,Nagaland,2.0,0.0,0.0,2.0,10.0,0.0,0.0,10.0
21,Orissa,9.0,0.0,5.0,14.0,593.0,0.0,310.0,903.0
22,Punjab,5.0,0.0,4.0,9.0,100.0,0.0,108.0,208.0
23,Rajasthan,137.0,0.0,0.0,137.0,1391.0,0.0,0.0,1391.0
24,Sikkim,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0
25,Tamil Nadu,293.0,0.0,0.0,293.0,2381.0,0.0,0.0,2381.0
26,Tripura,4.0,0.0,0.0,4.0,60.0,0.0,0.0,60.0
27,Uttar Pradesh,2315.0,0.0,1.0,2316.0,11361.0,0.0,100.0,11461.0
28,Uttarakhand,404.0,0.0,1.0,405.0,2023.0,0.0,50.0,2073.0
29,West Bengal,11.0,0.0,11.0,22.0,530.0,0.0,620.0,1150.0
30,Andaman and Nicobar Islands,5.0,0.0,0.0,5.0,90.0,0.0,0.0,90.0
31,Chandigarh,0.0,0.0,2.0,2.0,0.0,0.0,80.0,80.0
32,Dadra and Nagar Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Daman and Diu,2.0,0.0,0.0,2.0,20.0,0.0,0.0,20.0
34,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Pondicherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Telangana,20.0,0.0,0.0,20.0,841.0,0.0,0.0,841.0
,TOTAL (A),3694.0,35.0,164.0,3893.0,32476.0,2213.0,18337.0,53026.0
"B. CGHS & Central
 Government organizations",,50.0,0.0,0.0,50.0,2216.0,0.0,0.0,2216.0
TOTAL (A+B),,3744.0,35.0,164.0,3943.0,34692.0,2213.0,18337.0,55242.0
,,,,,,,,,
Source: Ministry of AYUSH.,,,,,,,,,
